replicate	fa	week	treatment	fa_conc
B_1	C08:0	1	NC	0
B_1	C10:0	1	NC	0
B_1	C11:0	1	NC	0
B_1	C12:0	1	NC	1.069601597
B_1	C13:0	1	NC	4.329348928
B_1	C14:0	1	NC	12.87321969
B_1	C14:1	1	NC	0
B_1	C15:0	1	NC	0.780498172
B_1	C15:1	1	NC	0
B_1	C16:0	1	NC	39.77511831
B_1	C16:1	1	NC	17.37817416
B_1	C17:1	1	NC	0.457179772
B_1	C18:0	1	NC	21.97383021
B_1	C18:1	1	NC	78.0951243
B_1	C18:2(n-6t)	1	NC	0
B_1	C18:2(n-6c)	1	NC	43.54567463
B_1	C18:3(n-6)	1	NC	3.236480979
B_1	C18:3(n-3)	1	NC	16.15621251
B_1	C18:4(n-3)	1	NC	6.235420519
B_1	C20:0	1	NC	1.887487366
B_1	C20:1	1	NC	2.862856664
B_1	C20:2(n-6)	1	NC	0.916214362
B_1	C20:3(n-6)	1	NC	0.326830592
B_1	C20:4(n-6)	1	NC	0.637879701
B_1	C20:3(n-3)	1	NC	0
B_1	C21:0	1	NC	0
B_1	C20:5(n-3)	1	NC	1.794982077
B_1	C22:0	1	NC	0.788824199
B_1	C22:1	1	NC	3.517323087
B_1	C22:2	1	NC	0
B_1	C22:5(n-3)	1	NC	0
B_1	C22:6(n-3)	1	NC	0.319766138
B_1	C24:0	1	NC	0.866394768
B_1	C24:1	1	NC	0
B_2	C08:0	1	Cip	0
B_2	C10:0	1	Cip	0
B_2	C11:0	1	Cip	0
B_2	C12:0	1	Cip	0.412130882
B_2	C13:0	1	Cip	3.880468833
B_2	C14:0	1	Cip	13.76359703
B_2	C14:1	1	Cip	0
B_2	C15:0	1	Cip	0.862501197
B_2	C15:1	1	Cip	0
B_2	C16:0	1	Cip	35.57094924
B_2	C16:1	1	Cip	22.01603307
B_2	C17:1	1	Cip	0.457179772
B_2	C18:0	1	Cip	13.67347401
B_2	C18:1	1	Cip	53.91755574
B_2	C18:2(n-6t)	1	Cip	0
B_2	C18:2(n-6c)	1	Cip	39.78019519
B_2	C18:3(n-6)	1	Cip	4.706840092
B_2	C18:3(n-3)	1	Cip	13.58681701
B_2	C18:4(n-3)	1	Cip	7.257287511
B_2	C20:0	1	Cip	1.682681047
B_2	C20:1	1	Cip	1.716192907
B_2	C20:2(n-6)	1	Cip	2.858737213
B_2	C20:3(n-6)	1	Cip	0.714631578
B_2	C20:4(n-6)	1	Cip	1.112345674
B_2	C20:3(n-3)	1	Cip	0
B_2	C21:0	1	Cip	0
B_2	C20:5(n-3)	1	Cip	3.23494352
B_2	C22:0	1	Cip	0.789128609
B_2	C22:1	1	Cip	3.1872803
B_2	C22:2	1	Cip	0
B_2	C22:5(n-3)	1	Cip	0
B_2	C22:6(n-3)	1	Cip	0.823914282
B_2	C24:0	1	Cip	1.447208379
B_2	C24:1	1	Cip	0
B_3	C08:0	1	Pro	0
B_3	C10:0	1	Pro	0
B_3	C11:0	1	Pro	0
B_3	C12:0	1	Pro	1.562548543
B_3	C13:0	1	Pro	4.607477962
B_3	C14:0	1	Pro	4.963820763
B_3	C14:1	1	Pro	0
B_3	C15:0	1	Pro	1.244617115
B_3	C15:1	1	Pro	0
B_3	C16:0	1	Pro	12.74593407
B_3	C16:1	1	Pro	17.37008169
B_3	C17:1	1	Pro	0.345932898
B_3	C18:0	1	Pro	6.683746345
B_3	C18:1	1	Pro	46.15198049
B_3	C18:2(n-6t)	1	Pro	0
B_3	C18:2(n-6c)	1	Pro	46.25090348
B_3	C18:3(n-6)	1	Pro	3.509120438
B_3	C18:3(n-3)	1	Pro	20.25549298
B_3	C18:4(n-3)	1	Pro	8.429326754
B_3	C20:0	1	Pro	2.960124571
B_3	C20:1	1	Pro	0
B_3	C20:2(n-6)	1	Pro	1.153036213
B_3	C20:3(n-6)	1	Pro	0.320339995
B_3	C20:4(n-6)	1	Pro	0.820675077
B_3	C20:3(n-3)	1	Pro	0
B_3	C21:0	1	Pro	0
B_3	C20:5(n-3)	1	Pro	3.512098548
B_3	C22:0	1	Pro	0.567385313
B_3	C22:1	1	Pro	3.61388014
B_3	C22:2	1	Pro	0
B_3	C22:5(n-3)	1	Pro	0
B_3	C22:6(n-3)	1	Pro	0.708864984
B_3	C24:0	1	Pro	1.198087702
B_3	C24:1	1	Pro	0
B_4	C08:0	1	Mix	0
B_4	C10:0	1	Mix	0
B_4	C11:0	1	Mix	0
B_4	C12:0	1	Mix	0.733756494
B_4	C13:0	1	Mix	5.607015224
B_4	C14:0	1	Mix	17.37217666
B_4	C14:1	1	Mix	0
B_4	C15:0	1	Mix	0.901570915
B_4	C15:1	1	Mix	0
B_4	C16:0	1	Mix	42.04066466
B_4	C16:1	1	Mix	14.44754585
B_4	C17:1	1	Mix	0.635117576
B_4	C18:0	1	Mix	18.14184256
B_4	C18:1	1	Mix	27.82783679
B_4	C18:2(n-6t)	1	Mix	0
B_4	C18:2(n-6c)	1	Mix	31.84045125
B_4	C18:3(n-6)	1	Mix	5.765316253
B_4	C18:3(n-3)	1	Mix	20.32119153
B_4	C18:4(n-3)	1	Mix	9.917383693
B_4	C20:0	1	Mix	2.766452739
B_4	C20:1	1	Mix	2.291606756
B_4	C20:2(n-6)	1	Mix	1.677864287
B_4	C20:3(n-6)	1	Mix	0.779049835
B_4	C20:4(n-6)	1	Mix	0.54130409
B_4	C20:3(n-3)	1	Mix	0
B_4	C21:0	1	Mix	0
B_4	C20:5(n-3)	1	Mix	1.181814045
B_4	C22:0	1	Mix	1.233090702
B_4	C22:1	1	Mix	4.431635775
B_4	C22:2	1	Mix	0
B_4	C22:5(n-3)	1	Mix	0
B_4	C22:6(n-3)	1	Mix	0.816476967
B_4	C24:0	1	Mix	1.629748578
B_4	C24:1	1	Mix	0
B_5	C08:0	2	NC	0
B_5	C10:0	2	NC	0
B_5	C11:0	2	NC	0
B_5	C12:0	2	NC	1.618966791
B_5	C13:0	2	NC	5.337833522
B_5	C14:0	2	NC	11.48722775
B_5	C14:1	2	NC	0
B_5	C15:0	2	NC	0.948698853
B_5	C15:1	2	NC	0
B_5	C16:0	2	NC	62.1580308
B_5	C16:1	2	NC	18.12436788
B_5	C17:1	2	NC	0.680279725
B_5	C18:0	2	NC	0
B_5	C18:1	2	NC	30.99605832
B_5	C18:2(n-6t)	2	NC	0
B_5	C18:2(n-6c)	2	NC	59.29393348
B_5	C18:3(n-6)	2	NC	3.071017013
B_5	C18:3(n-3)	2	NC	30.532481
B_5	C18:4(n-3)	2	NC	10.34476731
B_5	C20:0	2	NC	1.05364444
B_5	C20:1	2	NC	4.865301242
B_5	C20:2(n-6)	2	NC	0.740744549
B_5	C20:3(n-6)	2	NC	0
B_5	C20:4(n-6)	2	NC	2.422117971
B_5	C20:3(n-3)	2	NC	0
B_5	C21:0	2	NC	0
B_5	C20:5(n-3)	2	NC	9.856860949
B_5	C22:0	2	NC	0.429510543
B_5	C22:1	2	NC	4.360940912
B_5	C22:2	2	NC	0
B_5	C22:5(n-3)	2	NC	0
B_5	C22:6(n-3)	2	NC	0.531121033
B_5	C24:0	2	NC	0
B_5	C24:1	2	NC	0
B_6	C08:0	2	Cip	0
B_6	C10:0	2	Cip	0
B_6	C11:0	2	Cip	0
B_6	C12:0	2	Cip	0.474228277
B_6	C13:0	2	Cip	4.576911632
B_6	C14:0	2	Cip	7.209151735
B_6	C14:1	2	Cip	0
B_6	C15:0	2	Cip	0.626131691
B_6	C15:1	2	Cip	0
B_6	C16:0	2	Cip	44.15487156
B_6	C16:1	2	Cip	20.22823623
B_6	C17:1	2	Cip	0.538339796
B_6	C18:0	2	Cip	22.3341667
B_6	C18:1	2	Cip	68.61332619
B_6	C18:2(n-6t)	2	Cip	0
B_6	C18:2(n-6c)	2	Cip	50.53816136
B_6	C18:3(n-6)	2	Cip	1.42098997
B_6	C18:3(n-3)	2	Cip	22.64116431
B_6	C18:4(n-3)	2	Cip	7.153879572
B_6	C20:0	2	Cip	0.836728437
B_6	C20:1	2	Cip	2.914144919
B_6	C20:2(n-6)	2	Cip	0
B_6	C20:3(n-6)	2	Cip	0
B_6	C20:4(n-6)	2	Cip	1.024815594
B_6	C20:3(n-3)	2	Cip	0
B_6	C21:0	2	Cip	0
B_6	C20:5(n-3)	2	Cip	3.368910976
B_6	C22:0	2	Cip	0.969732473
B_6	C22:1	2	Cip	4.01211459
B_6	C22:2	2	Cip	0
B_6	C22:5(n-3)	2	Cip	0
B_6	C22:6(n-3)	2	Cip	0.354740558
B_6	C24:0	2	Cip	0
B_6	C24:1	2	Cip	0
B_7	C08:0	2	Pro	0
B_7	C10:0	2	Pro	0
B_7	C11:0	2	Pro	0
B_7	C12:0	2	Pro	0.990793987
