replicate	fa	treatment	fa_conc
S_1	C08:0	NC	0
S_1	C10:0	NC	0
S_1	C11:0	NC	0
S_1	C12:0	NC	2.057057946
S_1	C13:0	NC	22.49358357
S_1	C14:0	NC	22.96326621
S_1	C14:1	NC	0
S_1	C15:0	NC	3.959664478
S_1	C15:1	NC	0
S_1	C16:0	NC	145.3611124
S_1	C16:1	NC	77.13395364
S_1	C17:1	NC	0
S_1	C18:0	NC	87.27676501
S_1	C18:1	NC	91.19644605
S_1	C18:2(n-6t)	NC	0
S_1	C18:2(n-6c)	NC	40.39022884
S_1	C18:3(n-6)	NC	2.346711146
S_1	C18:3(n-3)	NC	9.79581796
S_1	C18:4(n-3)	NC	2.553917409
S_1	C20:0	NC	3.133636688
S_1	C20:1	NC	9.861537069
S_1	C20:2(n-6)	NC	7.367545222
S_1	C20:3(n-6)	NC	0.843123587
S_1	C20:4(n-6)	NC	21.16779399
S_1	C20:3(n-3)	NC	0
S_1	C21:0	NC	0
S_1	C20:5(n-3)	NC	26.24436105
S_1	C22:0	NC	0
S_1	C22:1	NC	11.29696706
S_1	C22:2	NC	0
S_1	C22:5(n-3)	NC	4.312888703
S_1	C22:6(n-3)	NC	1.87415815
S_1	C24:0	NC	0
S_1	C24:1	NC	0
S_2	C08:0	NC	0
S_2	C10:0	NC	0
S_2	C11:0	NC	0
S_2	C12:0	NC	2.231985513
S_2	C13:0	NC	16.22024107
S_2	C14:0	NC	17.02264854
S_2	C14:1	NC	0
S_2	C15:0	NC	3.327353949
S_2	C15:1	NC	0
S_2	C16:0	NC	90.44572931
S_2	C16:1	NC	47.82566819
S_2	C17:1	NC	0
S_2	C18:0	NC	50.05514787
S_2	C18:1	NC	65.4536997
S_2	C18:2(n-6t)	NC	0
S_2	C18:2(n-6c)	NC	25.45518349
S_2	C18:3(n-6)	NC	1.206809691
S_2	C18:3(n-3)	NC	6.343185949
S_2	C18:4(n-3)	NC	1.301729299
S_2	C20:0	NC	1.874374097
S_2	C20:1	NC	4.752051141
S_2	C20:2(n-6)	NC	4.670554983
S_2	C20:3(n-6)	NC	0.582393627
S_2	C20:4(n-6)	NC	9.696302738
S_2	C20:3(n-3)	NC	0
S_2	C21:0	NC	0
S_2	C20:5(n-3)	NC	15.66994057
S_2	C22:0	NC	0
S_2	C22:1	NC	8.743924112
S_2	C22:2	NC	0
S_2	C22:5(n-3)	NC	0
S_2	C22:6(n-3)	NC	0.97804448
S_2	C24:0	NC	0
S_2	C24:1	NC	0
S_3	C08:0	NC	0
S_3	C10:0	NC	0
S_3	C11:0	NC	0
S_3	C12:0	NC	2.049278147
S_3	C13:0	NC	10.53898797
S_3	C14:0	NC	11.36432086
S_3	C14:1	NC	0
S_3	C15:0	NC	3.165237611
S_3	C15:1	NC	0
S_3	C16:0	NC	83.03248022
S_3	C16:1	NC	48.70376979
S_3	C17:1	NC	0
S_3	C18:0	NC	47.1677769
