samples	treatment	name_feeding_assay	dryweight_mg
1	NC	NC1	0.6708
2	NC	NC2	0.7559
3	NC	NC3	0.6684
4	NC	NC4	0.6353
5	NC	NC5	0.6005
6	NC	NC6	0.8022
7	NC	NC7	0.4108
8	NC	NC8	0.6072
9	NC	NC9	0.9138
10	NC	NC10	0.7236
11	Pro	Pro1	0.5899
12	Pro	Pro2	0.4238
13	Pro	Pro3	0.5537
14	Pro	Pro4	0.5887
15	Pro	Pro5	0.6675
16	Pro	Pro6	0.4536
17	Pro	Pro7	0.5635
18	Pro	Pro8	0.73
19	Pro	Pro9	0.4519
20	Pro	Pro10	0.5069
21	Cip	Cip1	0.6156
22	Cip	Cip2	0.4067
23	Cip	Cip3	0.6182
24	Cip	Cip4	0.5367
25	Cip	Cip5	0.7141
26	Cip	Cip6	0.5688
27	Cip	Cip7	0.4954
28	Cip	Cip8	0.4128
29	Cip	Cip9	0.5169
30	Cip	Cip10	0.4579
31	Mix	Mix1	0.5409
32	Mix	Mix2	0.4663
33	Mix	Mix3	0.5612
34	Mix	Mix4	0.6193
35	Mix	Mix5	0.6198
36	Mix	Mix6	0.4758
37	Mix	Mix7	0.3611
38	Mix	Mix8	0.5481
39	Mix	Mix9	0.3699
40	Mix	Mix10	0.5119
41	Culture	NA	0.3179
42	Culture	NA	0.3379
43	Culture	NA	0.4906
44	Culture	NA	0.5677
45	Culture	NA	0.6493
46	Culture	NA	0.3517
47	Culture	NA	0.4338
48	Culture	NA	0.45
49	Culture	NA	0.3514
50	Culture	NA	0.5651
51	Culture	NA	0.5412
52	Culture	NA	0.5004
53	Culture	NA	0.2863
54	Culture	NA	0.5957
55	Culture	NA	0.2824
56	Culture	NA	0.4218
57	Culture	NA	0.3129
