Sample	Treatment	Week	AFDW
1	NC	Week1	#NV
2	NC	Week1	0.09280217
3	NC	Week1	0.10140335
4	NC	Week1	0.10774106
5	NC	Week1	0.084201
6	NC	Week1	0.10185604
7	NC	Week1	0.04798551
8	NC	Week1	0.12267995
9	NC	Week1	0.13037574
10	NC	Week1	0.10728837
11	NC	Week1	0.0909914
12	NC	Week1	0.11951109
13	NC	Week1	0.13444998
14	NC	Week1	0.13082843
15	NC	Week1	0.13173382
16	NC	Week1	0.09868719
17	NC	Week1	0.08193753
18	NC	Week1	0.09597103
19	NC	Week1	0.11770032
20	NC	Week1	0.11815301
21	NC	Week1	0.1747397
22	NC	Week1	0.15617927
23	NC	Week1	0.18062472
24	NC	Week1	0.13354459
25	NC	Week1	0.1398823
26	NC	Week1	0.20914441
27	NC	Week1	0.12132187
28	NC	Week1	0.13716614
29	NC	Week1	0.08963332
30	NC	Week1	#NV
1	Pro	Week1	0.27161612
2	Pro	Week1	0.24354912
3	Pro	Week1	0.23992757
4	Pro	Week1	0.18107741
5	Pro	Week1	0.25396107
6	Pro	Week1	0.27025804
7	Pro	Week1	0.25079221
8	Pro	Week1	0.3494794
9	Pro	Week1	0.17700317
10	Pro	Week1	0.18605704
11	Pro	Week1	0.23630602
12	Pro	Week1	0.20552286
13	Pro	Week1	0.22725215
14	Pro	Week1	0.24581258
15	Pro	Week1	0.20688094
16	Pro	Week1	0.15934812
17	Pro	Week1	0.15572657
18	Pro	Week1	0.12041648
19	Pro	Week1	0.14259846
20	Pro	Week1	0.12675419
21	Pro	Week1	0.08148483
22	Pro	Week1	0.1045722
23	Pro	Week1	0.11588954
24	Pro	Week1	0.09053871
25	Pro	Week1	#NV
26	Pro	Week1	0.10774016
27	Pro	Week1	0.14078769
28	Pro	Week1	0.16161159
29	Pro	Week1	0.16523314
30	Pro	Week1	0.18334088
1	Cip	Week1	0.15301041
2	Cip	Week1	0.10411951
3	Cip	Week1	0.19330014
4	Cip	Week1	0.23540063
5	Cip	Week1	0.13444998
6	Cip	Week1	0.24852875
7	Cip	Week1	0.21095518
8	Cip	Week1	0.2240833
9	Cip	Week1	0.16025351
10	Cip	Week1	0.15029425
11	Cip	Week1	0.19692168
12	Cip	Week1	#NV
13	Cip	Week1	0.19103667
14	Cip	Week1	0.18696243
15	Cip	Week1	#NV
16	Cip	Week1	0.16251698
17	Cip	Week1	0.17609778
18	Cip	Week1	0.17428701
19	Cip	Week1	0.17021277
20	Cip	Week1	0.14486193
21	Cip	Week1	0.20009054
22	Cip	Week1	0.14033499
23	Cip	Week1	0.14893617
24	Cip	Week1	0.12856496
25	Cip	Week1	0.20597555
26	Cip	Week1	0.12403803
27	Cip	Week1	0.12992304
28	Cip	Week1	0.12630149
29	Cip	Week1	0.14893617
30	Cip	Week1	0.13852422
1	Mix	Week1	0.13037574
2	Mix	Week1	0.12947035
3	Mix	Week1	0.13128112
4	Mix	Week1	0.06880942
5	Mix	Week1	0.05658669
6	Mix	Week1	0.10728837
7	Mix	Week1	0.05975555
8	Mix	Week1	0.06835672
9	Mix	Week1	0.08012675
10	Mix	Week1	0.15255772
11	Mix	Week1	0.06382979
12	Mix	Week1	0.10366682
13	Mix	Week1	0.07650521
14	Mix	Week1	0.11770032
15	Mix	Week1	0.15029425
16	Mix	Week1	0.08691716
17	Mix	Week1	0.02716161
18	Mix	Week1	0.15799004
19	Mix	Week1	0.10638298
20	Mix	Week1	0.20235401
21	Mix	Week1	0.06880942
22	Mix	Week1	0.17099827
23	Mix	Week1	0.26029878
24	Mix	Week1	0.14984156
25	Mix	Week1	0.18469896
26	Mix	Week1	0.22181983
27	Mix	Week1	0.2449072
28	Mix	Week1	0.1190584
29	Mix	Week1	0.18922589
30	Mix	Week1	0.17428701
1	NC	Week2	0.230421
2	NC	Week2	0.2308737
3	NC	Week2	0.34495247
4	NC	Week2	0.52965143
5	NC	Week2	0.32050702
6	NC	Week2	0.20778633
7	NC	Week2	0.30013581
8	NC	Week2	0.27071073
9	NC	Week2	0.39067451
10	NC	Week2	0.32593934
11	NC	Week2	0.34178361
12	NC	Week2	0.38750566
13	NC	Week2	0.34133092
14	NC	Week2	0.42779738
15	NC	Week2	0.38297872
16	NC	Week2	0.28338615
17	NC	Week2	0.31100045
18	NC	Week2	0.22725215
19	NC	Week2	0.15934812
20	NC	Week2	0.23313717
21	NC	Week2	0.16704391
22	NC	Week2	0.39067451
23	NC	Week2	0.1190584
24	NC	Week2	0.3775464
25	NC	Week2	0.14576732
26	NC	Week2	0.06790403
27	NC	Week2	0.09687641
28	NC	Week2	0.22317791
29	NC	Week2	0.07605251
30	NC	Week2	#NV
1	Pro	Week2	0.24762336
2	Pro	Week2	0.12992304
3	Pro	Week2	0.31869624
4	Pro	Week2	0.34495247
5	Pro	Week2	0.29153463
6	Pro	Week2	0.27885921
7	Pro	Week2	0.19918515
8	Pro	Week2	0.3078316
9	Pro	Week2	0.13535536
10	Pro	Week2	0.19103667
11	Pro	Week2	0.19103667
12	Pro	Week2	0.20778633
13	Pro	Week2	0.16930738
14	Pro	Week2	0.19511091
15	Pro	Week2	0.11362608
16	Pro	Week2	#NV
17	Pro	Week2	0.1815301
18	Pro	Week2	0.20099593
19	Pro	Week2	0.13037574
20	Pro	Week2	0.12675419
21	Pro	Week2	0.18424627
22	Pro	Week2	0.15527388
23	Pro	Week2	0.15663196
24	Pro	Week2	0.10683567
25	Pro	Week2	#NV
26	Pro	Week2	0.09461295
27	Pro	Week2	0.20144862
28	Pro	Week2	0.1186057
29	Pro	Week2	0.13218651
30	Pro	Week2	0.12765957
1	Cip	Week2	0.24626528
2	Cip	Week2	0.35581711
3	Cip	Week2	0.36079674
4	Cip	Week2	0.35038479
5	Cip	Week2	0.4332277
6	Cip	Week2	0.40923495
7	Cip	Week2	0.39022182
8	Cip	Week2	#NV
9	Cip	Week2	0.3286555
10	Cip	Week2	0.35626981
11	Cip	Week2	0.27161612
12	Cip	Week2	#NV
13	Cip	Week2	0.41557266
14	Cip	Week2	0.34133092
15	Cip	Week2	#NV
16	Cip	Week2	0.3567225
17	Cip	Week2	#NV
18	Cip	Week2	0.18515165
19	Cip	Week2	0.16296967
20	Cip	Week2	0.16432775
21	Cip	Week2	#NV
22	Cip	Week2	0.31779086
23	Cip	Week2	0.25033952
24	Cip	Week2	0.26754187
25	Cip	Week2	0.28066999
26	Cip	Week2	0.18967859
27	Cip	Week2	0.20009054
28	Cip	Week2	0.29062924
29	Cip	Week2	0.08782254
30	Cip	Week2	0.26799457
1	Mix	Week2	0.18696243
2	Mix	Week2	0.06609325
3	Mix	Week2	0.0909914
4	Mix	Week2	0.13490267
5	Mix	Week2	0.10276143
6	Mix	Week2	0.10819375
7	Mix	Week2	0.16568583
8	Mix	Week2	0.1819828
9	Mix	Week2	0.11543685
10	Mix	Week2	0.15346311
11	Mix	Week2	0.16704391
12	Mix	Week2	0.13082843
13	Mix	Week2	0.10049796
14	Mix	Week2	0.15527388
15	Mix	Week2	0.14622001
16	Mix	Week2	0.15753735
17	Mix	Week2	0.17655048
18	Mix	Week2	0.20416478
19	Mix	Week2	0.14803078
20	Mix	Week2	0.13173382
21	Mix	Week2	0.12811227
22	Mix	Week2	0.05115437
