Oldname	RUNINFO	Name	Week	FA	Treatment	FA_conc_rel
W1NC	S_1	C08:0	1	SAFA	NC	0.021630188
W1NC	S_1	C10:0	1	SAFA	NC	0.042791478
W1NC	S_1	C11:0	1	SAFA	NC	0.003179883
W1NC	S_1	C12:0	1	SAFA	NC	0.210421885
W1NC	S_1	C13:0	1	SAFA	NC	1.091594448
W1NC	S_1	C14:0	1	SAFA	NC	3.162099167
W1NC	S_1	C14:1	1	MUFA	NC	0
W1NC	S_1	C15:0	1	SAFA	NC	0.13407492
W1NC	S_1	C15:1	1	MUFA	NC	0
W1NC	S_1	C16:0	1	SAFA	NC	31.94860717
W1NC	S_1	C16:1	1	MUFA	NC	5.008952999
W1NC	S_1	C17:0	1	SAFA	NC	0.140099322
W1NC	S_1	C17:1	1	MUFA	NC	0.169117746
W1NC	S_1	C18:0	1	SAFA	NC	3.369980159
W1NC	S_1	C18:1	1	MUFA	NC	14.71349051
W1NC	S_1	C18:2(n-6t)	1	PUFA	NC	0
W1NC	S_1	C18:2(n-6c)	1	PUFA	NC	14.52087798
W1NC	S_1	C18:3(n-6)	1	PUFA	NC	1.26707485
W1NC	S_1	C18:3(n-3)	1	PUFA	NC	19.26070168
W1NC	S_1	C18:4(n-3)	1	PUFA	NC	1.446201358
W1NC	S_1	C20:0	1	SAFA	NC	0.44306817
W1NC	S_1	C20:1	1	MUFA	NC	0.311841897
W1NC	S_1	C20:2(n-6)	1	PUFA	NC	0.206928241
W1NC	S_1	C20:3(n-6)	1	PUFA	NC	0.054098061
W1NC	S_1	C20:4(n-6)	1	PUFA	NC	0.410349138
W1NC	S_1	C20:3(n-3)	1	PUFA	NC	0
W1NC	S_1	C21:0	1	SAFA	NC	0
W1NC	S_1	C20:5(n-3)	1	PUFA	NC	1.12339927
W1NC	S_1	C22:0	1	SAFA	NC	0.094002917
W1NC	S_1	C22:1	1	MUFA	NC	0
W1NC	S_1	C22:2	1	PUFA	NC	9.79953E-06
W1NC	S_1	C22:5(n-3)	1	PUFA	NC	0
W1NC	S_1	C22:6(n-3)	1	PUFA	NC	0.068671229
W1NC	S_1	C24:0	1	SAFA	NC	0.776735537
W1NC	S_1	C24:1	1	MUFA	NC	0
W1Cip	S_2	C08:0	1	SAFA	Cip	6.51917E-05
W1Cip	S_2	C10:0	1	SAFA	Cip	0
W1Cip	S_2	C11:0	1	SAFA	Cip	0
W1Cip	S_2	C12:0	1	SAFA	Cip	0.04985311
W1Cip	S_2	C13:0	1	SAFA	Cip	1.096464222
W1Cip	S_2	C14:0	1	SAFA	Cip	3.848723693
W1Cip	S_2	C14:1	1	MUFA	Cip	0
W1Cip	S_2	C15:0	1	SAFA	Cip	0.165158389
W1Cip	S_2	C15:1	1	MUFA	Cip	0
W1Cip	S_2	C16:0	1	SAFA	Cip	30.25744949
W1Cip	S_2	C16:1	1	MUFA	Cip	7.486711801
W1Cip	S_2	C17:0	1	SAFA	Cip	0.102588461
W1Cip	S_2	C17:1	1	MUFA	Cip	0.183329976
W1Cip	S_2	C18:0	1	SAFA	Cip	1.174089904
W1Cip	S_2	C18:1	1	MUFA	Cip	12.26415871
W1Cip	S_2	C18:2(n-6t)	1	PUFA	Cip	0
W1Cip	S_2	C18:2(n-6c)	1	PUFA	Cip	15.12389685
W1Cip	S_2	C18:3(n-6)	1	PUFA	Cip	2.075727524
W1Cip	S_2	C18:3(n-3)	1	PUFA	Cip	18.19509403
W1Cip	S_2	C18:4(n-3)	1	PUFA	Cip	1.888901726
W1Cip	S_2	C20:0	1	SAFA	Cip	0.450401573
W1Cip	S_2	C20:1	1	MUFA	Cip	0.173743747
