fa	replicate	treatment	fa_rel
C08:0	S_1	NC	0.005800847
C12:0	S_1	NC	0.106450795
C13:0	S_1	NC	2.426830865
C14:0	S_1	NC	2.246895741
C15:0	S_1	NC	0.337206226
C16:0	S_1	NC	45.99056388
C16:1	S_1	NC	9.524084555
C17:0	S_1	NC	0.504406789
C18:0	S_1	NC	5.35189002
C18:1	S_1	NC	10.22098242
C18:2(n-6t)	S_1	NC	0.000842556
C18:2(n-6c)	S_1	NC	5.762470553
C18:3(n-6)	S_1	NC	0
C18:3(n-3)	S_1	NC	4.901302467
C18:4(n-3)	S_1	NC	0.23622996
C20:0	S_1	NC	0.086812902
C20:1	S_1	NC	0.252427108
C20:2(n-6)	S_1	NC	0.616845289
C20:4(n-6)	S_1	NC	5.833572021
C20:5(n-3)	S_1	NC	5.087079582
C22:1	S_1	NC	0
C22:2	S_1	NC	0
C22:5(n-3)	S_1	NC	0.150954076
C22:6(n-3)	S_1	NC	0.176246918
C24:0	S_1	NC	0.180104432
C08:0	S_2	NC	0
C12:0	S_2	NC	0.26811365
C13:0	S_2	NC	2.910014092
C14:0	S_2	NC	2.773739805
C15:0	S_2	NC	0.449499355
C16:0	S_2	NC	45.09918968
C16:1	S_2	NC	9.704799308
C17:0	S_2	NC	0.529957483
C18:0	S_2	NC	3.494782439
C18:1	S_2	NC	12.11934314
C18:2(n-6t)	S_2	NC	0.012554055
C18:2(n-6c)	S_2	NC	5.929692047
C18:3(n-6)	S_2	NC	0
C18:3(n-3)	S_2	NC	5.234047078
C18:4(n-3)	S_2	NC	0.280349109
C20:0	S_2	NC	0
C20:1	S_2	NC	0.281993734
C20:2(n-6)	S_2	NC	0.760035318
C20:4(n-6)	S_2	NC	4.31714896
C20:5(n-3)	S_2	NC	5.215267318
C22:1	S_2	NC	0
C22:2	S_2	NC	0
C22:5(n-3)	S_2	NC	0.127921121
C22:6(n-3)	S_2	NC	0.123009945
C24:0	S_2	NC	0.368542365
C08:0	S_3	NC	0
C12:0	S_3	NC	0.229109535
C13:0	S_3	NC	1.607742902
C14:0	S_3	NC	2.268716708
C15:0	S_3	NC	0.352220602
C16:0	S_3	NC	38.92418518
C16:1	S_3	NC	8.898925775
C17:0	S_3	NC	0.549102776
C18:0	S_3	NC	4.692116892
C18:1	S_3	NC	12.18125019
C18:2(n-6t)	S_3	NC	0.000173833
C18:2(n-6c)	S_3	NC	7.190205621
C18:3(n-6)	S_3	NC	0
C18:3(n-3)	S_3	NC	8.53298673
C18:4(n-3)	S_3	NC	0.54239445
C20:0	S_3	NC	0
C20:1	S_3	NC	0.855061895
C20:2(n-6)	S_3	NC	1.423651043
C20:4(n-6)	S_3	NC	6.076712003
C20:5(n-3)	S_3	NC	4.749985134
C22:1	S_3	NC	0
C22:2	S_3	NC	0
C22:5(n-3)	S_3	NC	0.241356958
C22:6(n-3)	S_3	NC	0.328856447
C24:0	S_3	NC	0.355245324
C08:0	S_4	NC	0.000706014
C12:0	S_4	NC	0.278603376
C13:0	S_4	NC	2.258583502
C14:0	S_4	NC	2.492530097
C15:0	S_4	NC	0.41393975
C16:0	S_4	NC	45.12300975
C16:1	S_4	NC	11.38762024
C17:0	S_4	NC	0.545144489
C18:0	S_4	NC	4.074893964
C18:1	S_4	NC	9.964662422
C18:2(n-6t)	S_4	NC	0.007858837
C18:2(n-6c)	S_4	NC	5.37995853
C18:3(n-6)	S_4	NC	0
C18:3(n-3)	S_4	NC	5.014727931
C18:4(n-3)	S_4	NC	0.285957807
C20:0	S_4	NC	0.005084528
C20:1	S_4	NC	0.417149844
C20:2(n-6)	S_4	NC	0.972828388
C20:4(n-6)	S_4	NC	5.49730286
C20:5(n-3)	S_4	NC	4.972338162
C22:1	S_4	NC	0
C22:2	S_4	NC	0
C22:5(n-3)	S_4	NC	0.181874694
C22:6(n-3)	S_4	NC	0.198861803
C24:0	S_4	NC	0.526363009
C08:0	S_5	NC	0
C12:0	S_5	NC	0.290972494
C13:0	S_5	NC	1.896278931
C14:0	S_5	NC	2.671370394
C15:0	S_5	NC	0.371150757
C16:0	S_5	NC	44.63883113
C16:1	S_5	NC	12.57071276
C17:0	S_5	NC	0.431225039
C18:0	S_5	NC	3.660952077
C18:1	S_5	NC	11.8233475
C18:2(n-6t)	S_5	NC	0
C18:2(n-6c)	S_5	NC	5.916798092
C18:3(n-6)	S_5	NC	0
C18:3(n-3)	S_5	NC	4.464067438
C18:4(n-3)	S_5	NC	0.221056664
C20:0	S_5	NC	0.000103326
C20:1	S_5	NC	0.532204127
C20:2(n-6)	S_5	NC	0.989640239
C20:4(n-6)	S_5	NC	4.632673756
C20:5(n-3)	S_5	NC	3.942687875
C22:1	S_5	NC	0
C22:2	S_5	NC	0.159585772
C22:5(n-3)	S_5	NC	0.149382927
C22:6(n-3)	S_5	NC	0.137991547
C24:0	S_5	NC	0.498967158
C08:0	S_6	NC	0
C12:0	S_6	NC	0
C13:0	S_6	NC	0
C14:0	S_6	NC	0.840413662
