"RUNINFO"	"Name"	"Run"	"Treatment"	"Replicate"	"FA_mass"	"µg_FA_per_mg"
"1"	"Algae_1"	"15:0"	"R1"	"C"	2	0.633420239858164	0.0346320524799434
"2"	"Algae_1"	"16:0"	"R1"	"C"	2	54.2183027327634	2.96436865679406
"3"	"Algae_1"	"16:1n-7"	"R1"	"C"	2	6.18348702291073	0.338080209016443
"4"	"Algae_1"	"17:0"	"R1"	"C"	2	14.8381733928489	0.811272465437337
"5"	"Algae_1"	"18:0"	"R1"	"C"	2	2.07496241375329	0.113447917646434
"6"	"Algae_1"	"18:1n-7"	"R1"	"C"	2	29.7156563599933	1.62469416949116
"7"	"Algae_1"	"18:1n-9c"	"R1"	"C"	2	15.5924833050434	0.852514122747043
"8"	"Algae_1"	"18:2n-6c"	"R1"	"C"	2	33.3280549518128	1.82220092683503
"9"	"Algae_1"	"18:3n-3"	"R1"	"C"	2	141.128600822498	7.71616188203924
"10"	"Algae_1"	"18:3n-6"	"R1"	"C"	2	8.26565971373052	0.451922346294725
"11"	"Algae_1"	"20:0"	"R1"	"C"	2	0.2378417600691	0.0130039234592182
"12"	"Algae_1"	"20:1n-9"	"R1"	"C"	2	0.259688633401281	0.0141983943904473
"13"	"Algae_1"	"20:2n-6"	"R1"	"C"	2	0.244877408514868	0.0133885953261273
"14"	"Algae_1"	"20:3n-3"	"R1"	"C"	2	0.214248242543068	0.0117139553057992
"15"	"Algae_1"	"20:4n-6"	"R1"	"C"	2	0.533898842172108	0.0291907513489397
"16"	"Algae_1"	"20:5n-3"	"R1"	"C"	2	3.14438531772733	0.171918278716639
"17"	"Algae_1"	"22:0"	"R1"	"C"	2	0.625878753404579	0.0342197240789819
"18"	"Algae_1"	"22:6n-3"	"R1"	"C"	2	0.99832497397851	0.0545831040994265
"19"	"Algae_1"	"23:0"	"R1"	"C"	2	0.350291767846092	0.0191520922824545
"20"	"Algae_1"	"24:0"	"R1"	"C"	2	1.13834137944064	0.0622384570497892
"21"	"Algae_11"	"15:0"	"R2"	"T"	1	0.439461915145708	0.0382140795778876
