replicate	fa	week	treatment	fa_conc
B_1	C08:0	1	NC	0.89163
B_1	C10:0	1	NC	1.76392
B_1	C11:0	1	NC	0.13108
B_1	C12:0	1	NC	8.67388
B_1	C13:0	1	NC	44.99701
B_1	C14:0	1	NC	130.34604
B_1	C14:1	1	NC	0.00000
B_1	C15:0	1	NC	5.52675
B_1	C15:1	1	NC	0.00000
B_1	C16:0	1	NC	1316.96515
B_1	C16:1	1	NC	206.47587
B_1	C17:0	1	NC	5.77509
B_1	C17:1	1	NC	6.97126
B_1	C18:0	1	NC	138.91518
B_1	C18:1	1	NC	606.51014
B_1	C18:2(n-6t)	1	NC	0.00000
B_1	C18:2(n-6c)	1	NC	598.57039
B_1	C18:3(n-6)	1	NC	52.23055
B_1	C18:3(n-3)	1	NC	793.95239
B_1	C18:4(n-3)	1	NC	59.61439
B_1	C20:0	1	NC	18.26387
B_1	C20:1	1	NC	12.85455
B_1	C20:2(n-6)	1	NC	8.52986
B_1	C20:3(n-6)	1	NC	2.23000
B_1	C20:4(n-6)	1	NC	16.91515
B_1	C20:3(n-3)	1	NC	0.00000
B_1	C21:0	1	NC	0.00000
B_1	C20:5(n-3)	1	NC	46.30805
B_1	C22:0	1	NC	3.87493
B_1	C22:1	1	NC	0.00000
B_1	C22:2	1	NC	0.00040
B_1	C22:5(n-3)	1	NC	0.00000
B_1	C22:6(n-3)	1	NC	2.83072
B_1	C24:0	1	NC	32.01810
B_1	C24:1	1	NC	0.00000
B_2	C08:0	1	Cip	0.00227
B_2	C10:0	1	Cip	0.00000
B_2	C11:0	1	Cip	0.00000
B_2	C12:0	1	Cip	1.73950
B_2	C13:0	1	Cip	38.25835
B_2	C14:0	1	Cip	134.29149
B_2	C14:1	1	Cip	0.00000
B_2	C15:0	1	Cip	5.76278
B_2	C15:1	1	Cip	0.00000
B_2	C16:0	1	Cip	1055.75727
B_2	C16:1	1	Cip	261.22990
B_2	C17:0	1	Cip	3.57957
B_2	C17:1	1	Cip	6.39684
B_2	C18:0	1	Cip	40.96690
B_2	C18:1	1	Cip	427.92684
B_2	C18:2(n-6t)	1	Cip	0.00000
B_2	C18:2(n-6c)	1	Cip	527.71018
B_2	C18:3(n-6)	1	Cip	72.42727
B_2	C18:3(n-3)	1	Cip	634.87184
B_2	C18:4(n-3)	1	Cip	65.90845
B_2	C20:0	1	Cip	15.71563
B_2	C20:1	1	Cip	6.06235
B_2	C20:2(n-6)	1	Cip	25.51791
B_2	C20:3(n-6)	1	Cip	5.20145
B_2	C20:4(n-6)	1	Cip	27.38942
B_2	C20:3(n-3)	1	Cip	4.59585
B_2	C21:0	1	Cip	0.00000
B_2	C20:5(n-3)	1	Cip	66.64029
B_2	C22:0	1	Cip	4.74013
B_2	C22:1	1	Cip	0.00000
B_2	C22:2	1	Cip	0.00371
B_2	C22:5(n-3)	1	Cip	0.22056
B_2	C22:6(n-3)	1	Cip	7.29214
B_2	C24:0	1	Cip	49.03850
B_2	C24:1	1	Cip	0.00000
B_3	C08:0	1	Pro	0.00000
B_3	C10:0	1	Pro	5.48639
B_3	C11:0	1	Pro	0.52871
B_3	C12:0	1	Pro	12.29671
B_3	C13:0	1	Pro	46.12546
B_3	C14:0	1	Pro	140.39905
B_3	C14:1	1	Pro	0.00000
B_3	C15:0	1	Pro	8.00866
B_3	C15:1	1	Pro	0.00000
B_3	C16:0	1	Pro	1488.24373
B_3	C16:1	1	Pro	199.98428
B_3	C17:0	1	Pro	10.01922
B_3	C17:1	1	Pro	5.31619
B_3	C18:0	1	Pro	428.54478
B_3	C18:1	1	Pro	449.15325
B_3	C18:2(n-6t)	1	Pro	0.00792
B_3	C18:2(n-6c)	1	Pro	592.29954
B_3	C18:3(n-6)	1	Pro	3.05385
B_3	C18:3(n-3)	1	Pro	941.48233
B_3	C18:4(n-3)	1	Pro	75.06877
B_3	C20:0	1	Pro	26.33810
B_3	C20:1	1	Pro	0.00000
B_3	C20:2(n-6)	1	Pro	9.70591
B_3	C20:3(n-6)	1	Pro	2.35957
B_3	C20:4(n-6)	1	Pro	19.99531
B_3	C20:3(n-3)	1	Pro	3.79733
B_3	C21:0	1	Pro	0.00000
B_3	C20:5(n-3)	1	Pro	69.77987
B_3	C22:0	1	Pro	5.83651
B_3	C22:1	1	Pro	0.00000
B_3	C22:2	1	Pro	0.01922
B_3	C22:5(n-3)	1	Pro	0.08246
B_3	C22:6(n-3)	1	Pro	6.14549
B_3	C24:0	1	Pro	41.61504
B_3	C24:1	1	Pro	0.00000
B_4	C08:0	1	Mix	0.01773
B_4	C10:0	1	Mix	0.00000
B_4	C11:0	1	Mix	0.00000
B_4	C12:0	1	Mix	4.49398
B_4	C13:0	1	Mix	54.17286
B_4	C14:0	1	Mix	163.79169
B_4	C14:1	1	Mix	0.00000
B_4	C15:0	1	Mix	5.79690
B_4	C15:1	1	Mix	0.00000
B_4	C16:0	1	Mix	1258.31481
B_4	C16:1	1	Mix	151.96503
B_4	C17:0	1	Mix	5.45758
B_4	C17:1	1	Mix	8.87789
B_4	C18:0	1	Mix	89.48325
B_4	C18:1	1	Mix	0.00000
B_4	C18:2(n-6t)	1	Mix	0.00000
B_4	C18:2(n-6c)	1	Mix	682.32904
B_4	C18:3(n-6)	1	Mix	84.44989
B_4	C18:3(n-3)	1	Mix	918.49974
B_4	C18:4(n-3)	1	Mix	86.38862
B_4	C20:0	1	Mix	23.88835
B_4	C20:1	1	Mix	7.46837
B_4	C20:2(n-6)	1	Mix	14.65822
B_4	C20:3(n-6)	1	Mix	5.26168
B_4	C20:4(n-6)	1	Mix	13.22779
B_4	C20:3(n-3)	1	Mix	0.00000
B_4	C21:0	1	Mix	0.00000
B_4	C20:5(n-3)	1	Mix	32.39808
B_4	C22:0	1	Mix	6.96732
B_4	C22:1	1	Mix	0.00000
B_4	C22:2	1	Mix	0.00000
B_4	C22:5(n-3)	1	Mix	0.15665
B_4	C22:6(n-3)	1	Mix	6.84891
B_4	C24:0	1	Mix	51.42958
B_4	C24:1	1	Mix	0.00000
B_5	C08:0	2	NC	0.06775
B_5	C10:0	2	NC	0.65114
B_5	C11:0	2	NC	0.00000
B_5	C12:0	2	NC	14.33640
B_5	C13:0	2	NC	55.68887
B_5	C14:0	2	NC	113.19053
B_5	C14:1	2	NC	0.00000
B_5	C15:0	2	NC	6.71542
B_5	C15:1	2	NC	0.00000
B_5	C16:0	2	NC	2320.17535
B_5	C16:1	2	NC	433.46531
B_5	C17:0	2	NC	8.99903
B_5	C17:1	2	NC	10.34720
B_5	C18:0	2	NC	0.00000
B_5	C18:1	2	NC	0.00000
B_5	C18:2(n-6t)	2	NC	3.03905
B_5	C18:2(n-6c)	2	NC	826.61418
B_5	C18:3(n-6)	2	NC	0.00000
B_5	C18:3(n-3)	2	NC	1547.54604
B_5	C18:4(n-3)	2	NC	101.09554
B_5	C20:0	2	NC	9.98669
