replicate	fa	week	treatment	fa_rel
B_1	C08:0	1	NC	0.021630188
B_1	C10:0	1	NC	0.042791478
B_1	C11:0	1	NC	0.003179883
B_1	C12:0	1	NC	0.210421885
B_1	C13:0	1	NC	1.091594448
B_1	C14:0	1	NC	3.162099167
B_1	C14:1	1	NC	0
B_1	C15:0	1	NC	0.13407492
B_1	C15:1	1	NC	0
B_1	C16:0	1	NC	31.94860717
B_1	C16:1	1	NC	5.008952999
B_1	C17:0	1	NC	0.140099322
B_1	C17:1	1	NC	0.169117746
B_1	C18:0	1	NC	3.369980159
B_1	C18:1	1	NC	14.71349051
B_1	C18:2(n-6t)	1	NC	0
B_1	C18:2(n-6c)	1	NC	14.52087798
B_1	C18:3(n-6)	1	NC	1.26707485
B_1	C18:3(n-3)	1	NC	19.26070168
B_1	C18:4(n-3)	1	NC	1.446201358
B_1	C20:0	1	NC	0.44306817
B_1	C20:1	1	NC	0.311841897
B_1	C20:2(n-6)	1	NC	0.206928241
B_1	C20:3(n-6)	1	NC	0.054098061
B_1	C20:4(n-6)	1	NC	0.410349138
B_1	C20:3(n-3)	1	NC	0
B_1	C21:0	1	NC	0
B_1	C20:5(n-3)	1	NC	1.12339927
B_1	C22:0	1	NC	0.094002917
B_1	C22:1	1	NC	0
B_1	C22:2	1	NC	9.79953E-06
B_1	C22:5(n-3)	1	NC	0
B_1	C22:6(n-3)	1	NC	0.068671229
B_1	C24:0	1	NC	0.776735537
B_1	C24:1	1	NC	0
B_2	C08:0	1	Cip	6.51917E-05
B_2	C10:0	1	Cip	0
B_2	C11:0	1	Cip	0
B_2	C12:0	1	Cip	0.04985311
B_2	C13:0	1	Cip	1.096464222
B_2	C14:0	1	Cip	3.848723693
B_2	C14:1	1	Cip	0
B_2	C15:0	1	Cip	0.165158389
B_2	C15:1	1	Cip	0
B_2	C16:0	1	Cip	30.25744949
B_2	C16:1	1	Cip	7.486711801
B_2	C17:0	1	Cip	0.102588461
B_2	C17:1	1	Cip	0.183329976
B_2	C18:0	1	Cip	1.174089904
B_2	C18:1	1	Cip	12.26415871
B_2	C18:2(n-6t)	1	Cip	0
B_2	C18:2(n-6c)	1	Cip	15.12389685
B_2	C18:3(n-6)	1	Cip	2.075727524
B_2	C18:3(n-3)	1	Cip	18.19509403
B_2	C18:4(n-3)	1	Cip	1.888901726
B_2	C20:0	1	Cip	0.450401573
B_2	C20:1	1	Cip	0.173743747
B_2	C20:2(n-6)	1	Cip	0.731329899
B_2	C20:3(n-6)	1	Cip	0.149070784
B_2	C20:4(n-6)	1	Cip	0.784966532
B_2	C20:3(n-3)	1	Cip	0.131714778
B_2	C21:0	1	Cip	0
B_2	C20:5(n-3)	1	Cip	1.909875878
B_2	C22:0	1	Cip	0.135849565
B_2	C22:1	1	Cip	0
B_2	C22:2	1	Cip	0.000106387
B_2	C22:5(n-3)	1	Cip	0.006321114
