replicate	fa	treatment	fa_conc
S_1	C08:0	NC	0.51845
S_1	C10:0	NC	0
S_1	C11:0	NC	0
S_1	C12:0	NC	9.51409
S_1	C13:0	NC	216.89908
S_1	C14:0	NC	200.8173
S_1	C14:1	NC	0
S_1	C15:0	NC	30.13796
S_1	C15:1	NC	0
S_1	C16:0	NC	4110.42701
S_1	C16:1	NC	851.21927
S_1	C17:0	NC	45.08158
S_1	C17:1	NC	0
S_1	C18:0	NC	478.32754
S_1	C18:1	NC	913.50483
S_1	C18:2(n-6t)	NC	0.0753
S_1	C18:2(n-6c)	NC	515.02336
S_1	C18:3(n-6)	NC	0
S_1	C18:3(n-3)	NC	438.05608
S_1	C18:4(n-3)	NC	21.11316
S_1	C20:0	NC	7.75894
S_1	C20:1	NC	22.56078
S_1	C20:2(n-6)	NC	55.13082
S_1	C20:3(n-6)	NC	0
S_1	C20:4(n-6)	NC	521.37808
S_1	C21:0	NC	0
S_1	C20:5(n-3)	NC	454.65999
S_1	C22:0	NC	0
S_1	C22:1	NC	0
S_1	C22:2	NC	0
S_1	C22:5(n-3)	NC	13.49159
S_1	C22:6(n-3)	NC	15.75215
S_1	C24:0	NC	16.09691
S_1	C24:1	NC	0
S_2	C08:0	NC	0
S_2	C10:0	NC	0
S_2	C11:0	NC	0
S_2	C12:0	NC	14.60524
S_2	C13:0	NC	158.52025
S_2	C14:0	NC	151.09684
S_2	C14:1	NC	0
S_2	C15:0	NC	24.48605
S_2	C15:1	NC	0
S_2	C16:0	NC	2456.73553
S_2	C16:1	NC	528.65973
S_2	C17:0	NC	28.86893
S_2	C17:1	NC	0
S_2	C18:0	NC	190.37495
S_2	C18:1	NC	660.18971
S_2	C18:2(n-6t)	NC	0.68387
S_2	C18:2(n-6c)	NC	323.01434
S_2	C18:3(n-6)	NC	0
S_2	C18:3(n-3)	NC	285.11974
S_2	C18:4(n-3)	NC	15.27175
S_2	C20:0	NC	0
S_2	C20:1	NC	15.36134
S_2	C20:2(n-6)	NC	41.4022
S_2	C20:3(n-6)	NC	0
S_2	C20:4(n-6)	NC	235.17259
S_2	C21:0	NC	0
S_2	C20:5(n-3)	NC	284.09674
S_2	C22:0	NC	0
S_2	C22:1	NC	0
S_2	C22:2	NC	0
S_2	C22:5(n-3)	NC	6.96838
S_2	C22:6(n-3)	NC	6.70085
S_2	C24:0	NC	20.076
S_2	C24:1	NC	0
S_3	C08:0	NC	0
S_3	C10:0	NC	0
S_3	C11:0	NC	0
S_3	C12:0	NC	15.15918
S_3	C13:0	NC	106.37737
S_3	C14:0	NC	150.11114
S_3	C14:1	NC	0
S_3	C15:0	NC	23.30491
S_3	C15:1	NC	0
S_3	C16:0	NC	2575.4445
S_3	C16:1	NC	588.80332
S_3	C17:0	NC	36.33175
S_3	C17:1	NC	0
S_3	C18:0	NC	310.45702
S_3	C18:1	NC	805.98049
S_3	C18:2(n-6t)	NC	0.0115
S_3	C18:2(n-6c)	NC	475.74472
S_3	C18:3(n-6)	NC	0
S_3	C18:3(n-3)	NC	564.59072
S_3	C18:4(n-3)	NC	35.88789
S_3	C20:0	NC	0
S_3	C20:1	NC	56.57574
S_3	C20:2(n-6)	NC	94.19681
S_3	C20:3(n-6)	NC	21.1782
S_3	C20:4(n-6)	NC	402.06968
S_3	C21:0	NC	0.07756
S_3	C20:5(n-3)	NC	314.28591
S_3	C22:0	NC	0
S_3	C22:1	NC	0
S_3	C22:2	NC	0
S_3	C22:5(n-3)	NC	15.96954
S_3	C22:6(n-3)	NC	21.759
S_3	C24:0	NC	23.50504
S_3	C24:1	NC	0
S_4	C08:0	NC	0.04174
S_4	C10:0	NC	0.37558
S_4	C11:0	NC	0
S_4	C12:0	NC	16.46959
S_4	C13:0	NC	133.51574
S_4	C14:0	NC	147.34544
S_4	C14:1	NC	0
S_4	C15:0	NC	24.46997
S_4	C15:1	NC	0
S_4	C16:0	NC	2667.43818
S_4	C16:1	NC	673.17702
S_4	C17:0	NC	32.22611
S_4	C17:1	NC	0
S_4	C18:0	NC	240.88659
S_4	C18:1	NC	589.05913
S_4	C18:2(n-6t)	NC	0.46457
S_4	C18:2(n-6c)	NC	318.03523
S_4	C18:3(n-6)	NC	0
S_4	C18:3(n-3)	NC	296.44469
S_4	C18:4(n-3)	NC	16.90434
S_4	C20:0	NC	0.30057
S_4	C20:1	NC	24.65973
S_4	C20:2(n-6)	NC	57.50857
S_4	C20:3(n-6)	NC	6.38024
S_4	C20:4(n-6)	NC	324.97202
S_4	C21:0	NC	0.64189
S_4	C20:5(n-3)	NC	293.93883
S_4	C22:0	NC	0
S_4	C22:1	NC	0
S_4	C22:2	NC	0
S_4	C22:5(n-3)	NC	10.75149
S_4	C22:6(n-3)	NC	11.75568
S_4	C24:0	NC	31.11585
S_4	C24:1	NC	0
S_5	C08:0	NC	0
S_5	C10:0	NC	0
S_5	C11:0	NC	0
S_5	C12:0	NC	21.84176
S_5	C13:0	NC	142.34356
S_5	C14:0	NC	200.52555
S_5	C14:1	NC	0
S_5	C15:0	NC	27.86031
S_5	C15:1	NC	0
S_5	C16:0	NC	3350.79932
S_5	C16:1	NC	943.61646
S_5	C17:0	NC	32.36977
S_5	C17:1	NC	0
S_5	C18:0	NC	274.80818
S_5	C18:1	NC	887.51573
S_5	C18:2(n-6t)	NC	0
S_5	C18:2(n-6c)	NC	444.14252
S_5	C18:3(n-6)	NC	0
S_5	C18:3(n-3)	NC	335.09377
S_5	C18:4(n-3)	NC	16.59355
S_5	C20:0	NC	0.00776
S_5	C20:1	NC	39.94973
S_5	C20:2(n-6)	NC	74.28702
S_5	C20:3(n-6)	NC	0
S_5	C20:4(n-6)	NC	347.75015
S_5	C21:0	NC	0
S_5	C20:5(n-3)	NC	295.95658
S_5	C22:0	NC	0
S_5	C22:1	NC	0
S_5	C22:2	NC	11.97925
S_5	C22:5(n-3)	NC	11.21338
S_5	C22:6(n-3)	NC	10.35829
S_5	C24:0	NC	37.45481
S_5	C24:1	NC	0
S_6	C08:0	NC	0
S_6	C10:0	NC	0
S_6	C11:0	NC	0
S_6	C12:0	NC	0
S_6	C13:0	NC	0
S_6	C14:0	NC	61.80164
S_6	C14:1	NC	0
S_6	C15:0	NC	16.1336
S_6	C15:1	NC	0
S_6	C16:0	NC	2947.96664
S_6	C16:1	NC	574.88836
S_6	C17:0	NC	33.18589
S_6	C17:1	NC	0
S_6	C18:0	NC	494.71193
S_6	C18:1	NC	939.61768
S_6	C18:2(n-6t)	NC	0.01935
S_6	C18:2(n-6c)	NC	621.36677
S_6	C18:3(n-6)	NC	0
S_6	C18:3(n-3)	NC	643.39101
S_6	C18:4(n-3)	NC	28.17734
S_6	C20:0	NC	0.24473
S_6	C20:1	NC	61.43815
S_6	C20:2(n-6)	NC	94.73736
S_6	C20:3(n-6)	NC	16.53189
S_6	C20:4(n-6)	NC	446.30929
S_6	C21:0	NC	0
S_6	C20:5(n-3)	NC	334.0607
S_6	C22:0	NC	0
S_6	C22:1	NC	0
S_6	C22:2	NC	0.12514
S_6	C22:5(n-3)	NC	15.35928
S_6	C22:6(n-3)	NC	18.5093
S_6	C24:0	NC	21.67302
S_6	C24:1	NC	0
S_7	C08:0	NC	0
S_7	C10:0	NC	0
S_7	C11:0	NC	0
S_7	C12:0	NC	0
S_7	C13:0	NC	1.19713
S_7	C14:0	NC	124.9714
S_7	C14:1	NC	0
S_7	C15:0	NC	18.70716
S_7	C15:1	NC	0
S_7	C16:0	NC	2801.97416
S_7	C16:1	NC	742.90657
S_7	C17:0	NC	35.36778
S_7	C17:1	NC	6.21775
S_7	C18:0	NC	289.90453
S_7	C18:1	NC	764.37254
S_7	C18:2(n-6t)	NC	1.83584
S_7	C18:2(n-6c)	NC	446.19199
S_7	C18:3(n-6)	NC	0
