sample	treatment	week	afdw_after_colonisation
1	NC	1	0.073336351
2	NC	1	0.07831598
3	NC	1	0.099366229
4	Cip	1	0.067224989
5	Cip	1	0.098913536
6	Cip	1	0.06926211
7	Pro	1	0.095971028
8	Pro	1	0.126980534
9	Pro	1	0.182209144
10	Mix	1	0.066093255
11	Mix	1	0.070393843
12	Mix	1	0.063377094
13	NC	2	0.325712992
14	NC	2	0.205749208
15	NC	2	0.112041648
16	Cip	2	0.154368493
17	Cip	2	0.093254866
18	Cip	2	0.078768674
19	Pro	2	0.06926211
20	Pro	2	0.063829787
21	Pro	2	0.076731553
22	Mix	2	0.079221367
23	Mix	2	0.057039384
24	Mix	2	0.099366229
25	NC	3	0.642598461
26	NC	3	0.322544138
27	NC	3	0.594839294
28	Cip	3	0.20982345
29	Cip	3	0.177682209
30	Cip	3	0.176776822
31	Pro	3	0.53078316
32	Pro	3	0.543684925
33	Pro	3	0.347668628
34	Mix	3	0.118379357
35	Mix	3	0.413761883
36	Mix	3	0.306926211
