sample	treatment	week	afdw
1	NC	1	NA
2	NC	1	0.09280217
3	NC	1	0.10140335
4	NC	1	0.10774106
5	NC	1	0.084201
6	NC	1	0.10185604
7	NC	1	0.04798551
8	NC	1	0.12267995
9	NC	1	0.13037574
10	NC	1	0.10728837
11	NC	1	0.0909914
12	NC	1	0.11951109
13	NC	1	0.13444998
14	NC	1	0.13082843
15	NC	1	0.13173382
16	NC	1	0.09868719
17	NC	1	0.08193753
18	NC	1	0.09597103
19	NC	1	0.11770032
20	NC	1	0.11815301
21	NC	1	0.1747397
22	NC	1	0.15617927
23	NC	1	0.18062472
24	NC	1	0.13354459
25	NC	1	0.1398823
26	NC	1	0.20914441
27	NC	1	0.12132187
28	NC	1	0.13716614
29	NC	1	0.08963332
30	NC	1	NA
31	Pro	1	0.27161612
32	Pro	1	0.24354912
33	Pro	1	0.23992757
34	Pro	1	0.18107741
35	Pro	1	0.25396107
36	Pro	1	0.27025804
37	Pro	1	0.25079221
38	Pro	1	0.3494794
39	Pro	1	0.17700317
40	Pro	1	0.18605704
41	Pro	1	0.23630602
42	Pro	1	0.20552286
43	Pro	1	0.22725215
44	Pro	1	0.24581258
45	Pro	1	0.20688094
46	Pro	1	0.15934812
47	Pro	1	0.15572657
48	Pro	1	0.12041648
49	Pro	1	0.14259846
50	Pro	1	0.12675419
51	Pro	1	0.08148483
52	Pro	1	0.1045722
53	Pro	1	0.11588954
54	Pro	1	0.09053871
55	Pro	1	NA
56	Pro	1	0.10774016
57	Pro	1	0.14078769
58	Pro	1	0.16161159
59	Pro	1	0.16523314
60	Pro	1	0.18334088
61	Cip	1	0.15301041
62	Cip	1	0.10411951
63	Cip	1	0.19330014
64	Cip	1	0.23540063
65	Cip	1	0.13444998
66	Cip	1	0.24852875
67	Cip	1	0.21095518
68	Cip	1	0.2240833
69	Cip	1	0.16025351
70	Cip	1	0.15029425
71	Cip	1	0.19692168
72	Cip	1	NA
73	Cip	1	0.19103667
74	Cip	1	0.18696243
75	Cip	1	NA
76	Cip	1	0.16251698
77	Cip	1	0.17609778
78	Cip	1	0.17428701
79	Cip	1	0.17021277
80	Cip	1	0.14486193
81	Cip	1	0.20009054
82	Cip	1	0.14033499
83	Cip	1	0.14893617
84	Cip	1	0.12856496
85	Cip	1	0.20597555
86	Cip	1	0.12403803
87	Cip	1	0.12992304
88	Cip	1	0.12630149
89	Cip	1	0.14893617
90	Cip	1	0.13852422
91	Mix	1	0.13037574
92	Mix	1	0.12947035
93	Mix	1	0.13128112
94	Mix	1	0.06880942
95	Mix	1	0.05658669
96	Mix	1	0.10728837
97	Mix	1	0.05975555
98	Mix	1	0.06835672
99	Mix	1	0.08012675
100	Mix	1	0.15255772
101	Mix	1	0.06382979
102	Mix	1	0.10366682
103	Mix	1	0.07650521
104	Mix	1	0.11770032
105	Mix	1	0.15029425
106	Mix	1	0.08691716
107	Mix	1	0.02716161
108	Mix	1	0.15799004
109	Mix	1	0.10638298
110	Mix	1	0.20235401
111	Mix	1	0.06880942
112	Mix	1	0.17099827
113	Mix	1	0.26029878
114	Mix	1	0.14984156
115	Mix	1	0.18469896
116	Mix	1	0.22181983
117	Mix	1	0.2449072
118	Mix	1	0.1190584
119	Mix	1	0.18922589
120	Mix	1	0.17428701
121	NC	2	0.230421
122	NC	2	0.2308737
123	NC	2	0.34495247
124	NC	2	0.52965143
125	NC	2	0.32050702
126	NC	2	0.20778633
127	NC	2	0.30013581
128	NC	2	0.27071073
129	NC	2	0.39067451
130	NC	2	0.32593934
131	NC	2	0.34178361
132	NC	2	0.38750566
133	NC	2	0.34133092
134	NC	2	0.42779738
135	NC	2	0.38297872
136	NC	2	0.28338615
137	NC	2	0.31100045
138	NC	2	0.22725215
139	NC	2	0.15934812
140	NC	2	0.23313717
141	NC	2	0.16704391
142	NC	2	0.39067451
143	NC	2	0.1190584
144	NC	2	0.3775464
145	NC	2	0.14576732
146	NC	2	0.06790403
147	NC	2	0.09687641
148	NC	2	0.22317791
149	NC	2	0.07605251
150	NC	2	NA
151	Pro	2	0.24762336
152	Pro	2	0.12992304
153	Pro	2	0.31869624
154	Pro	2	0.34495247
155	Pro	2	0.29153463
156	Pro	2	0.27885921
157	Pro	2	0.19918515
158	Pro	2	0.3078316
159	Pro	2	0.13535536
160	Pro	2	0.19103667
161	Pro	2	0.19103667
162	Pro	2	0.20778633
163	Pro	2	0.16930738
164	Pro	2	0.19511091
165	Pro	2	0.11362608
166	Pro	2	NA
167	Pro	2	0.1815301
168	Pro	2	0.20099593
169	Pro	2	0.13037574
170	Pro	2	0.12675419
171	Pro	2	0.18424627
172	Pro	2	0.15527388
173	Pro	2	0.15663196
174	Pro	2	0.10683567
175	Pro	2	NA
176	Pro	2	0.09461295
177	Pro	2	0.20144862
178	Pro	2	0.1186057
179	Pro	2	0.13218651
180	Pro	2	0.12765957
181	Cip	2	0.24626528
182	Cip	2	0.35581711
183	Cip	2	0.36079674
184	Cip	2	0.35038479
185	Cip	2	0.4332277
186	Cip	2	0.40923495
187	Cip	2	0.39022182
188	Cip	2	NA
189	Cip	2	0.3286555
190	Cip	2	0.35626981
191	Cip	2	0.27161612
192	Cip	2	NA
193	Cip	2	0.41557266
194	Cip	2	0.34133092
195	Cip	2	NA
196	Cip	2	0.3567225
197	Cip	2	NA
198	Cip	2	0.18515165
199	Cip	2	0.16296967
200	Cip	2	0.16432775
201	Cip	2	NA
202	Cip	2	0.31779086
