date	day	time_of_day	temperature_colonisation	light_intensity_colonisation
20230127	0	12	18.045	12400.1
20230127	0	13	19.948	16533.4
20230127	0	14	19.758	12400.1
20230127	0	15	22.429	15844.5
20230127	0	16	21.569	13089.0
20230127	0	17	21.378	12400.1
20230127	0	18	21.282	16533.4
20230127	0	19	21.187	15844.5
20230127	0	20	21.187	12400.1
20230127	0	21	21.187	10677.8
20230127	0	22	20.901	0
20230127	0	23	20.138	0
20230128	1	0	19.282	0
20230128	1	1	18.616	0
20230128	1	2	17.950	0
20230128	1	3	17.379	0
20230128	1	4	16.903	0
20230128	1	5	16.427	0
20230128	1	6	16.427	16533.4
20230128	1	7	16.999	15844.5
20230128	1	8	17.379	12400.1
20230128	1	9	17.760	17222.3
20230128	1	10	18.045	11022.3
20230128	1	11	18.426	12400.1
20230128	1	12	18.711	10677.8
20230128	1	13	19.092	11022.3
20230128	1	14	19.377	15155.7
20230128	1	15	19.662	15155.7
20230128	1	16	19.853	13777.9
20230128	1	17	20.138	16533.4
20230128	1	18	20.329	13089.0
20230128	1	19	20.424	14466.8
20230128	1	20	20.615	11711.2
20230128	1	21	20.710	12400.1
20230128	1	22	20.424	0
20230128	1	23	19.662	0
20230129	2	0	18.996	0
20230129	2	1	18.331	0
20230129	2	2	17.760	0
20230129	2	3	17.094	0
20230129	2	4	16.713	0
20230129	2	5	16.332	0
20230129	2	6	16.332	15844.5
20230129	2	7	16.903	15844.5
20230129	2	8	17.284	12400.1
20230129	2	9	17.570	12400.1
20230129	2	10	17.950	12400.1
20230129	2	11	18.331	14466.8
20230129	2	12	18.616	10677.8
20230129	2	13	18.996	14466.8
20230129	2	14	19.282	12400.1
20230129	2	15	19.662	12400.1
20230129	2	16	19.853	11022.3
20230129	2	17	20.043	15155.7
20230129	2	18	20.234	11022.3
20230129	2	19	20.329	10677.8
20230129	2	20	20.615	14466.8
20230129	2	21	20.710	15155.7
20230129	2	22	20.329	0
20230129	2	23	19.662	0
20230130	3	0	18.901	0
20230130	3	1	18.236	0
20230130	3	2	17.665	0
20230130	3	3	17.094	0
20230130	3	4	16.618	0
20230130	3	5	16.237	0
20230130	3	6	16.332	14466.8
20230130	3	7	16.903	16533.4
20230130	3	8	17.189	11022.3
20230130	3	9	17.475	11711.2
20230130	3	10	17.760	14466.8
20230130	3	11	18.045	13089
20230130	3	12	18.331	16533.4
20230130	3	13	18.711	17289
20230130	3	14	18.996	11711.2
20230130	3	15	19.282	15155.7
20230130	3	16	19.567	14466.8
20230130	3	17	19.758	12400.1
20230130	3	18	19.948	12233.4
20230130	3	19	20.138	16533.4
20230130	3	20	20.234	13777.9
20230130	3	21	20.424	13089
20230130	3	22	20.043	0
20230130	3	23	19.282	0
20230131	4	0	18.521	0
20230131	4	1	17.855	0
20230131	4	2	17.284	0
20230131	4	3	16.808	0
20230131	4	4	16.332	0
20230131	4	5	15.951	0
20230131	4	6	16.046	10677.8
20230131	4	7	16.618	17222.3
20230131	4	8	16.999	12400.1
20230131	4	9	17.284	16533.4
20230131	4	10	17.570	15155.7
20230131	4	11	17.950	14466.8
20230131	4	12	18.236	15844.5
20230131	4	13	18.521	11711.2
20230131	4	14	18.806	13611.2
20230131	4	15	19.092	13089
20230131	4	16	19.377	11022.3
20230131	4	17	19.662	13611.2
20230131	4	18	19.758	11022.3
20230131	4	19	19.948	11022.3
20230131	4	20	20.138	10333.4
20230131	4	21	20.234	13777.9
20230131	4	22	19.948	0
20230131	4	23	19.187	0
20230201	5	0	18.426	0
20230201	5	1	17.760	0
20230201	5	2	17.189	0
20230201	5	3	16.713	0
20230201	5	4	16.237	0
20230201	5	5	15.951	0
20230201	5	6	16.046	17911.2
20230201	5	7	16.713	15155.7
20230201	5	8	17.094	17222.3
20230201	5	9	17.379	13777.9
20230201	5	10	17.855	11022.3
20230201	5	11	18.140	11022.3
20230201	5	12	18.426	10333.4
20230201	5	13	18.711	13777.9
20230201	5	14	19.092	11711.2
20230201	5	15	19.282	16533.4
20230201	5	16	19.567	10333.4
20230201	5	17	19.853	13089
20230201	5	18	19.948	13089
20230201	5	19	20.138	11022.3
20230201	5	20	20.329	10333.4
20230201	5	21	20.519	10333.4
20230201	5	22	20.138	0
20230201	5	23	19.377	0
20230202	6	0	18.616	0
20230202	6	1	17.950	0
20230202	6	2	17.379	0
20230202	6	3	16.808	0
20230202	6	4	16.427	0
20230202	6	5	16.046	0
20230202	6	6	15.664	10677.8
20230202	6	7	15.569	10677.8
20230202	6	8	16.237	11022.3
20230202	6	9	16.808	10333.4
20230202	6	10	17.284	10677.8
20230202	6	11	17.760	10333.4
20230202	6	12	18.236	12400.1
20230202	6	13	18.616	10333.4
20230202	6	14	19.092	12400.1
20230202	6	15	19.472	15025.3
20230202	6	16	19.662	15025.3
20230202	6	17	19.948	10677.8
20230202	6	18	20.234	13777.9
20230202	6	19	20.519	13777.9
20230202	6	20	20.710	10333.4
20230202	6	21	20.901	10333.4
20230202	6	22	21.091	0
20230202	6	23	20.996	0
20230203	7	0	20.234	0
20230203	7	1	19.567	0
20230203	7	2	18.806	0
20230203	7	3	18.236	0
20230203	7	4	17.665	0
20230203	7	5	17.094	0
20230203	7	6	16.523	12400.1
20230203	7	7	16.141	11022.3
20230203	7	8	16.903	10333.4
20230203	7	9	17.284	10333.4
20230203	7	10	17.760	16777.7
20230203	7	11	18.140	16777.7
20230203	7	12	18.521	14466.8
20230203	7	13	18.806	16533.4
20230203	7	14	19.187	10333.4
20230203	7	15	17.665	12400.1
20230203	7	16	17.950	14466.8
20230203	7	17	18.236	13777.9
20230203	7	18	18.521	13777.9
20230203	7	19	18.711	12400.1
20230203	7	20	18.901	13089.0
20230203	7	21	19.092	10333.4
20230203	7	22	19.377	0
20230203	7	23	19.567	0
20230204	8	0	19.187	0
20230204	8	1	18.616	0
20230204	8	2	17.950	0
20230204	8	3	17.379	0
20230204	8	4	16.808	0
20230204	8	5	16.427	0
20230204	8	6	15.855	16533.4
20230204	8	7	14.996	11711.2
20230204	8	8	14.996	11711.2
20230204	8	9	15.187	18600.1
20230204	8	10	15.473	14466.8
20230204	8	11	15.855	14466.8
20230204	8	12	16.237	13777.9
20230204	8	13	16.713	13777.9
20230204	8	14	16.999	16777.7
20230204	8	15	17.760	11711.2
20230204	8	16	18.806	16533.4
20230204	8	17	18.711	12400.1
20230204	8	18	22.238	12400.1
20230204	8	19	20.901	13089.0
20230204	8	20	20.805	13089.0
20230204	8	21	20.805	17911.2
20230204	8	22	20.805	0
20230204	8	23	20.805	0
20230205	9	0	20.234	0
20230205	9	1	19.567	0
20230205	9	2	18.806	0
20230205	9	3	18.140	0
20230205	9	4	17.570	0
20230205	9	5	17.094	0
20230205	9	6	16.523	15844.5
20230205	9	7	15.664	14466.8
20230205	9	8	15.664	14466.8
20230205	9	9	15.855	16533.4
20230205	9	10	16.141	16533.4
20230205	9	11	16.427	13089.0
20230205	9	12	16.808	15155.7
20230205	9	13	17.094	15844.5
20230205	9	14	17.379	12400.1
20230205	9	15	17.665	11711.2
20230205	9	16	17.950	15155.7
20230205	9	17	18.236	15155.7
20230205	9	18	18.426	12400.1
20230205	9	19	18.711	10677.8
20230205	9	20	18.901	15644.5
20230205	9	21	19.092	12400.1
20230205	9	22	19.282	0
20230205	9	23	19.377	0
20230206	10	0	18.901	0
20230206	10	1	18.331	0
20230206	10	2	17.760	0
20230206	10	3	17.189	0
20230206	10	4	16.808	0
20230206	10	5	16.523	0
20230206	10	6	16.046	13089.0
20230206	10	7	15.187	13777.9
20230206	10	8	15.187	16533.4
20230206	10	9	15.473	15844.5
20230206	10	10	15.760	14466.8
20230206	10	11	16.046	14466.8
20230206	10	12	16.427	14466.8
20230206	10	13	16.808	11022.3
20230206	10	14	17.094	14466.8
20230206	10	15	17.379	12400.1
20230206	10	16	17.665	12400.1
20230206	10	17	17.950	15155.7
20230206	10	18	18.236	13089.0
20230206	10	19	18.426	11711.2
20230206	10	20	18.616	10677.8
20230206	10	21	18.806	15155.7
20230206	10	22	18.996	0
20230206	10	23	19.187	0
20230207	11	0	18.616	0
20230207	11	1	18.045	0
20230207	11	2	17.475	0
20230207	11	3	17.094	0
20230207	11	4	16.618	0
20230207	11	5	16.237	0
20230207	11	6	15.855	12400.1
20230207	11	7	15.091	14600.1
20230207	11	8	15.282	11711.2
20230207	11	9	15.473	12400.1
20230207	11	10	16.046	15844.5
20230207	11	11	16.237	14289.0
20230207	11	12	19.853	12400.1
20230207	11	13	20.710	11711.2
20230207	11	14	20.519	14466.8
20230207	11	15	20.615	15155.7
20230207	11	16	20.901	12400.1
20230207	11	17	21.091	11711.2
20230207	11	18	21.282	16533.4
20230207	11	19	21.282	11711.2
20230207	11	20	21.187	11711.2
20230207	11	21	21.187	15666.8
20230207	11	22	21.091	0
20230207	11	23	20.234	0
20230208	12	0	19.472	0
20230208	12	1	18.711	0
20230208	12	2	18.045	0
20230208	12	3	17.475	0
20230208	12	4	16.999	0
20230208	12	5	16.523	0
20230208	12	6	16.332	16533.4
20230208	12	7	16.903	14466.8
20230208	12	8	17.284	13777.9
20230208	12	9	17.570	14466.8
20230208	12	10	18.045	14466.8
20230208	12	11	18.331	11022.3
20230208	12	12	18.616	15155.7
20230208	12	13	18.996	12400.1
20230208	12	14	19.282	11022.3
20230208	12	15	19.567	14600.1
20230208	12	16	19.853	15844.5
20230208	12	17	20.043	14466.8
20230208	12	18	20.234	12400.1
20230208	12	19	20.424	12400.1
20230208	12	20	20.615	14466.8
20230208	12	21	20.710	16533.4
20230208	12	22	20.615	0
20230208	12	23	19.758	0
20230209	13	0	19.092	0
20230209	13	1	18.331	0
20230209	13	2	17.855	0
20230209	13	3	17.189	0
20230209	13	4	16.713	0
20230209	13	5	16.332	0
20230209	13	6	16.141	14466.8
20230209	13	7	16.808	15155.7
20230209	13	8	17.189	12400.1
20230209	13	9	17.570	15844.5
20230209	13	10	17.950	14600.1
20230209	13	11	18.236	11022.3
20230209	13	12	18.616	11711.2
20230209	13	13	18.901	16533.4
20230209	13	14	19.282	11711.2
20230209	13	15	19.472	11022.3
20230209	13	16	19.758	12400.1
20230209	13	17	20.043	14466.8
20230209	13	18	20.234	11022.3
20230209	13	19	20.424	12400.1
20230209	13	20	20.519	12400.1
20230209	13	21	20.615	18600.1
20230209	13	22	20.615	0
20230209	13	23	19.758	0
20230210	14	0	18.996	0
20230210	14	1	18.426	0
20230210	14	2	17.760	0
20230210	14	3	17.189	0
20230210	14	4	16.713	0
20230210	14	5	16.237	0
20230210	14	6	16.046	12400.1
20230210	14	7	16.808	15844.5
20230210	14	8	17.094	12400.1
20230210	14	9	17.379	11711.2
20230210	14	10	17.760	18600.1
20230210	14	11	18.045	16533.4
20230210	14	12	18.331	17911.2
20230210	14	13	18.616	16533.4
20230210	14	14	18.901	14466.8
20230210	14	15	19.187	11711.2
20230210	14	16	19.472	14600.1
20230210	14	17	19.758	11711.2
20230210	14	18	19.948	15844.5
20230210	14	19	20.043	12400.1
20230210	14	20	20.234	16533.4
20230210	14	21	20.424	15844.5
20230210	14	22	20.329	0
20230210	14	23	19.472	0
20230211	15	0	18.616	0
20230211	15	1	17.950	0
20230211	15	2	17.379	0
