date	day	time_of_day	temperature	light_intensity
20230331	0	12	13.56	360
20230331	0	13	13.65	343.5
20230331	0	14	13.65	367.3
20230331	0	15	13.75	333.8
20230331	0	16	13.85	301.4
20230331	0	17	13.85	333.7
20230331	0	18	13.85	304.1
20230331	0	19	13.94	327.7
20230331	0	20	13.94	305.3
20230331	0	21	13.94	302.6
20230331	0	22	13.85	0
20230331	0	23	13.37	0
20230401	1	0	12.69	0
20230401	1	1	12.4	0
20230401	1	2	12.4	0
20230401	1	3	12.4	0
20230401	1	4	12.69	0
20230401	1	5	12.59	0
20230401	1	6	12.5	303.4
20230401	1	7	12.5	325.6
20230401	1	8	12.79	345.8
20230401	1	9	13.08	308.2
20230401	1	10	13.37	313.3
20230401	1	11	13.56	331.8
20230401	1	12	13.75	343.2
20230401	1	13	13.56	346.8
20230401	1	14	13.37	336.8
20230401	1	15	13.6	300.7
20230401	1	16	13.75	333.2
20230401	1	17	13.8	354.3
20230401	1	18	13.92	355.2
20230401	1	19	13.95	353.8
20230401	1	20	14	354.7
20230401	1	21	13.97	317.9
20230401	1	22	13.68	0
20230401	1	23	13.3	0
20230402	2	0	12.79	0
20230402	2	1	12.52	0
20230402	2	2	12.4	0
20230402	2	3	12.3	0
20230402	2	4	12.35	0
20230402	2	5	12.45	0
20230402	2	6	12.5	307.4
20230402	2	7	12.5	326.4
20230402	2	8	12.89	331.5
20230402	2	9	13.11	348.8
20230402	2	10	13.43	354.8
20230402	2	11	13.66	332.6
20230402	2	12	13.7	325.6
20230402	2	13	13.7	345.4
20230402	2	14	13.75	350.1
20230402	2	15	13.75	315.8
20230402	2	16	13.79	322.3
20230402	2	17	13.83	310.5
20230402	2	18	13.9	324.7
20230402	2	19	13.9	338.8
20230402	2	20	13.95	309.1
20230402	2	21	13.95	340.3
20230402	2	22	13.83	0
20230402	2	23	13.25	0
20230403	3	0	12.59	0
20230403	3	1	12.54	0
20230403	3	2	12.5	0
20230403	3	3	12.45	0
20230403	3	4	12.4	0
20230403	3	5	12.38	0
20230403	3	6	12.38	321.7
20230403	3	7	12.43	319.2
20230403	3	8	12.8	344.5
20230403	3	9	13.14	328.2
20230403	3	10	13.55	301.9
20230403	3	11	13.6	306.8
20230403	3	12	13.61	329.6
20230403	3	13	13.67	341.4
20230403	3	14	13.75	342.4
20230403	3	15	13.8	314.8
20230403	3	16	13.8	327.3
20230403	3	17	13.82	358.5
20230403	3	18	13.88	360.3
20230403	3	19	13.89	354.2
20230403	3	20	13.9	341.3
20230403	3	21	13.94	351.7
20230403	3	22	13.98	0
20230403	3	23	13.44	0
20230404	4	0	12.67	0
20230404	4	1	12.6	0
20230404	4	2	12.5	0
20230404	4	3	12.6	0
20230404	4	4	12.58	0
20230404	4	5	12.49	0
20230404	4	6	12.46	313.3
20230404	4	7	12.4	309.3
20230404	4	8	12.6	334.8
20230404	4	9	13.35	332.4
20230404	4	10	13.49	329.9
20230404	4	11	13.67	359.3
20230404	4	12	13.7	331.5
20230404	4	13	13.75	321.4
20230404	4	14	13.75	344.2
20230404	4	15	13.75	352.7
20230404	4	16	13.85	319.1
20230404	4	17	13.82	343.5
20230404	4	18	13.87	300.8
20230404	4	19	13.85	355.7
20230404	4	20	13.9	338.2
