sample	treatment	week	feeding_rate_ug_day
1	NC	1	NA
2	NC	1	2.246657134
3	NC	1	2.203944326
4	NC	1	0.515597047
5	NC	1	0.410511339
6	NC	1	2.146724702
7	NC	1	0.998290871
8	NC	1	0.638075854
9	NC	1	0.532492778
10	NC	1	1.15981779
11	NC	1	0.478317695
12	NC	1	1.320610534
13	NC	1	1.177491623
14	NC	1	1.24827159
15	NC	1	1.721141649
16	NC	1	0.522203471
17	NC	1	2.24056565
18	NC	1	1.800308167
19	NC	1	0.349651069
20	NC	1	0.528773984
21	NC	1	3.706654757
22	NC	1	3.569952481
23	NC	1	45.41086253
24	NC	1	2.879611445
25	NC	1	0.946527075
26	NC	1	31.85062243
27	NC	1	4.438869413
28	NC	1	9.967543571
29	NC	1	3.670116137
30	NC	1	NA
31	Pro	1	2.121204907
32	Pro	1	6.49279915
33	Pro	1	12.37258186
34	Pro	1	23.20252159
35	Pro	1	16.32083012
36	Pro	1	26.78483521
37	Pro	1	11.39099855
38	Pro	1	15.47925431
39	Pro	1	17.5819397
40	Pro	1	23.55215604
41	Pro	1	24.94579019
42	Pro	1	25.10935084
43	Pro	1	13.41199723
44	Pro	1	15.94126397
45	Pro	1	13.4844842
46	Pro	1	NA
47	Pro	1	18.71596793
48	Pro	1	9.594063892
49	Pro	1	1.300916132
50	Pro	1	0.877497935
51	Pro	1	4.312088839
52	Pro	1	3.821772923
53	Pro	1	4.013208399
54	Pro	1	0.441410044
55	Pro	1	NA
56	Pro	1	0.434147252
57	Pro	1	3.448257955
58	Pro	1	3.081238102
59	Pro	1	0.412058141
60	Pro	1	9.878984004
61	Cip	1	1.157583199
62	Cip	1	0
63	Cip	1	0
64	Cip	1	0.956614001
65	Cip	1	0
66	Cip	1	1.576207111
67	Cip	1	2.201750063
68	Cip	1	1.126619659
69	Cip	1	0.353597889
70	Cip	1	1.719580212
71	Cip	1	4.061698198
72	Cip	1	NA
73	Cip	1	0.431715616
74	Cip	1	0.588204184
75	Cip	1	NA
76	Cip	1	0.665991163
77	Cip	1	1.75688409
78	Cip	1	2.454153669
79	Cip	1	1.124018346
80	Cip	1	1.521644139
81	Cip	1	0.867970531
82	Cip	1	2.209626958
83	Cip	1	0.556451126
84	Cip	1	0.603712314
85	Cip	1	1.827925835
86	Cip	1	2.791106373
87	Cip	1	0.690199265
88	Cip	1	0.520174204
89	Cip	1	0.400371324
90	Cip	1	2.949075908
91	Mix	1	8.92284107
92	Mix	1	0.837573767
93	Mix	1	10.75098166
94	Mix	1	0.131678861
95	Mix	1	1.466482683
96	Mix	1	2.196584741
97	Mix	1	0.31121222
98	Mix	1	1.229926202
99	Mix	1	0.412299463
100	Mix	1	0.551297665
101	Mix	1	1.804917365
102	Mix	1	1.606695997
103	Mix	1	0
104	Mix	1	0.134269131
105	Mix	1	0.412096178
106	Mix	1	1.473257463
107	Mix	1	1.357108427
108	Mix	1	0.219747279
109	Mix	1	1.829072892
110	Mix	1	5.559356134
111	Mix	1	1.731304755
112	Mix	1	0.427580066
113	Mix	1	0.43771739
114	Mix	1	2.492635155
115	Mix	1	1.848165473
116	Mix	1	15.95318745
117	Mix	1	0.707749555
118	Mix	1	7.739008856
119	Mix	1	1.687566682
120	Mix	1	0.51188146
121	NC	2	2.721730187
122	NC	2	0.583482518
123	NC	2	2.950777157
