"","treatment","dryweight","growth_ng_dw_per_day"
"1","NC",0.6708,31.2571428571429
"2","NC",0.7559,43.4142857142857
"3","NC",0.6684,30.9142857142857
"4","NC",0.6353,26.1857142857143
"5","NC",0.6005,21.2142857142857
"6","NC",0.8022,50.0285714285714
"7","NC",0.4108,-5.88571428571429
"8","NC",0.6072,22.1714285714286
"9","NC",0.9138,65.9714285714286
"10","NC",0.7236,38.8
"11","Pro",0.5899,19.7
"12","Pro",0.4238,-4.02857142857143
"13","Pro",0.5537,14.5285714285714
"14","Pro",0.5887,19.5285714285714
"15","Pro",0.6675,30.7857142857143
"16","Pro",0.4536,0.228571428571427
"17","Pro",0.5635,15.9285714285714
"18","Pro",0.73,39.7142857142857
"19","Pro",0.4519,-0.0142857142857127
"20","Pro",0.5069,7.84285714285714
"21","Cip",0.6156,23.3714285714286
"22","Cip",0.4067,-6.47142857142857
"23","Cip",0.6182,23.7428571428571
"24","Cip",0.5367,12.1
"25","Cip",0.7141,37.4428571428571
"26","Cip",0.5688,16.6857142857143
"27","Cip",0.4954,6.2
"28","Cip",0.4128,-5.6
"29","Cip",0.5169,9.27142857142857
"30","Cip",0.4579,0.842857142857137
"31","Mix",0.5409,12.7
"32","Mix",0.4663,2.04285714285714
"33","Mix",0.5612,15.6
"34","Mix",0.6193,23.9
"35","Mix",0.6198,23.9714285714286
"36","Mix",0.4758,3.4
"37","Mix",0.3611,-12.9857142857143
"38","Mix",0.5481,13.7285714285714
"39","Mix",0.3699,-11.7285714285714
"40","Mix",0.5119,8.55714285714286
"41","Culture",0.3179,-19.1571428571429
"42","Culture",0.3379,-16.3
"43","Culture",0.4906,5.51428571428571
"44","Culture",0.5677,16.5285714285714
"45","Culture",0.6493,28.1857142857143
"46","Culture",0.3517,-14.3285714285714
"47","Culture",0.4338,-2.6
"48","Culture",0.45,-0.285714285714286
"49","Culture",0.3514,-14.3714285714286
"50","Culture",0.5651,16.1571428571429
