	average	sd	ratio	ava	avb	cumsum	p
13:0	0.016	0.013	1.258	1.953	4.007	0.120	0.353
22:1	0.012	0.004	3.177	2.920	4.660	0.210	0.001
18:0	0.009	0.005	1.739	7.291	8.386	0.278	0.116
16:1	0.008	0.006	1.332	7.403	6.560	0.341	1.000
16:0	0.008	0.007	1.259	9.491	10.250	0.404	0.991
18:3n-6	0.007	0.003	2.023	1.365	0.415	0.456	0.006
20:3n-6	0.007	0.003	2.144	1.133	0.205	0.506	0.002
12:0	0.006	0.005	1.334	0.758	1.355	0.553	0.258
20:4n-6	0.006	0.006	0.931	3.827	3.325	0.597	0.487
14:0	0.006	0.004	1.545	3.546	3.962	0.640	1.000
20:5n-3	0.006	0.004	1.415	4.511	4.035	0.683	0.779
18:2n-6c	0.005	0.004	1.437	5.728	5.136	0.724	1.000
