	average	sd	ratio	ava	avb	cumsum	p
14:0	0.027	0.007	3.722	3.546	0.627	0.118	0.001
18:1	0.026	0.013	1.953	8.688	5.502	0.232	0.038
16:1	0.024	0.016	1.517	7.403	4.528	0.337	0.005
18:2n-6c	0.019	0.013	1.454	5.728	3.414	0.421	0.002
13:0	0.015	0.015	0.981	1.953	0.000	0.486	0.540
16:0	0.013	0.010	1.280	9.491	8.524	0.542	0.301
15:0	0.010	0.004	2.500	1.616	0.367	0.585	0.002
18:3n-6	0.009	0.004	2.665	1.365	0.196	0.626	0.001
18:3n-3	0.009	0.005	2.029	2.981	1.847	0.666	0.003
22:1	0.009	0.005	1.741	2.920	4.001	0.704	0.015
